Title,Rating1,Rating2,Year,imdb
Rebecca,4,7,1940,tt0032976
Mandabi,4,7,1968,tt0063268
The Lizard,4,7,2004,tt0068869
This is Spinal Tap,4,7,1984,tt0088258
Amadeus,4,7,1984,tt0086879
Monsieur Verdoux,4,7,1947,tt0039631
Memento,4,7,2001,tt0209144
This Strange Passion,4,7,1953,tt0045361
Who's Afraid of Virginia Woolf?,4,7,1966,tt0061184
A New Leaf,4,7,1971,tt0067482
The Philadelphia Story,4,7,1940,tt0032904
Birdman,4,7,2014,tt2562232
Donnie Darko,4,7,2001,tt0246578
Raw,4,7,2017,tt4954522
The Neon Demon,4,7,2016,tt1974419
Wake in Fright,4,7,1971,tt0067541
M,4,7,1931,tt0022100
All About Eve,4,7,1950,tt0042192
Evil Dead II,4,7,1987,tt0092991
Lighthouse,4,7,2019,tt7984734
It Follows,4,7,2014,tt3235888
You're Next,4,7,2013,tt1853739
The Wailing,4,7,2016,tt5215952
To Kill a Mockingbird,4,7,1962,tt0056592
Ben-Hur,4,7,1959,tt0052618
Spartacus,4,7,1960,tt0054331
Wages of Fear,4,7,1953,tt0046268
Citizen Kane,4,7,1941,tt0033467
The Ghost and Mrs Muir,4,7,1947,tt0039420
You Can't Take it With You,4,7,1938,tt0030993
Being There,4,7,1979,tt0078841
Play It Again Sam,4,7,1972,tt0069097
This is the End,4,7,2013,tt1245492
Silver Linings Playbook,4,7,2012,tt1045658
Hot Fuzz,4,7,2007,tt0425112
Death at a Funeral,4,7,2007,tt0795368
Austin Powers International Man of Mystery,4,7,1997,tt0118655
Airplane!,4,7,1980,tt0080339
Some Like it Hot,4,7,1959,tt0053291
The Cameraman,4,7,1928,tt0018742
Red River,4,7,1948,tt0040724
Tokyo Story,4,7,1953,tt0046438
Irrerversible,4,7,2002,tt0290673
Ikiru,4,7,1952,tt0044741
Requiem for a Dream,4,7,2000,tt0180093
Trainspotting,4,7,1996,tt0117951
Sunset Boulevard,4,7,1950,tt0043014
The Big Sleep,4,7,1946,tt0038355
The Killing,4,7,1956,tt0049406
The Ashphalt Jungle,4,7,1950,tt0042208
The Roaring Twenties,4,7,1939,tt0031867
Snatch,4,7,2000,tt0208092
Die Hard,4,7,1988,tt0095016
Carlito's Way,4,7,1993,tt0106519
Pusher,4,7,1996,tt0117407
Heat,4,7,1995,tt0113277
The Castle,4,7,1997,tt0118826
Collateral,4,7,2004,tt0369339
The Sting,4,7,1973,tt0070735
Filantropica,4,7,2002,tt0314067
Jackie Brown,4,7,1997,tt0119396
Red Beard,4,7,1965,tt0058888
Do You Remember Dolly Bell,4,7,1981,tt0083089
Good Morning,4,7,1959,tt0053134
Raging Bull,4,7,1980,tt0081398
Wait Until Dark,4,7,1967,tt0062467
The Lobster,4,7,2015,tt3464902
Mary and Max,4,7,2009,tt0978762
Predator,4,7,1987,tt0093773
Robocop,4,7,1987,tt0093870
John Wick,4,7,2014,tt2911666
The Guest,4,7,2014,tt2980592
Dredd,4,7,2012,tt1343727
Killl Bill 1,5,7,2003,tt0266697
Edge of Tomorrow,4,7,2014,tt1631867
Sin City,4,7,2005,tt0401792
The Hateful Eight,4,7,2015,tt3460252
Victoria,4,7,2015,tt4226388
The Avengers,3,7,2012,tt0848228
21 Jump Street,3,7,2012,tt1232829
"Crazy, Stupid Love",3,7,2011,tt1570728
Harry Potter and the Deathly Hallows 2,3,7,2011,tt1201607
Fast Five,3,7,2011,tt1596343
Four Lions,3,7,2010,tt1341167
Scott Pilgrim vs the World,3,7,2010,tt0446029
Tangled,4,7,2010,tt0398286
Taken,3,7,2009,tt0936501
Tropic Thunder,3,7,2008,tt0942385
Gran Torino,,7,2008,tt1205489
Kung Fu Panda,,7,2008,tt0441773
American Gangster,3,7,2007,tt0765429
3:10 to Yuma,3,7,2007,tt0381849
Superbad,3,7,2007,tt0829482
Planet Terror,,7,2007,tt1077258
Pan's Labyrinth,3,7,2006,tt0457430
Blood Diamond,,7,2006,tt0450259
Paradise Now,3,7,2005,tt0445620
Casino Royale,,7,2005,tt0381061
Harry Potter and the Prisoner of Azkaban,3,7,2004,tt0304141
Mean Girls,3,7,2004,tt0377092
Head-On,3,7,2004,tt0347048
A Moment of Innocence,3,7,1996,tt0117214
Underground,3,7,1995,tt0114787
Dumb and Dumber,3,7,1994,tt0109686
Scent of a Woman,3,7,1992,tt0105323
Bad Lieutenant,3,7,1992,tt0103759
Guelwaar,3,7,1992,tt0104373
A Short Film About Love,3,7,1988,tt0095467
Cinema Paridiso,3,7,1988,tt0095765
Taipei Story,3,7,1985,tt0089866
After Hours,3,7,1985,tt0088680
My Beautiful Laundrette,3,7,1985,tt0091578
Eraserhead,3,7,1977,tt0074486
The Wicker Man,3,7,1973,tt0070917
Straw Dogs,3,7,1971,tt0067800
Sword of Doom,3,7,1966,tt0060277
The Collector,3,7,1965,tt0059043
Yojimbo,3,7,1961,tt0055630
Nazarin,3,7,1959,tt0051983
Hiroshima on Armour,3,7,1959,tt0052893
Ballad of Narayama,3,7,1958,tt0051980
The Night of the Hunter,3,7,1955,tt0048424
The Bad and the Beautiful,4,7,1952,tt0044391
Leave Her to Heaven,2,7,1945,tt0037865
The Strange Love of Martha Ivers,4,7,1946,tt0038988
Ball of Fire,4,7,1941,tt0033373
Modern Times,3,7,1936,tt0027977
The Public Enemy,3,7,1931,tt0022286
I Am a Fugitive from a Chain Gang,,7,1932,tt0023042
City of God,,7,2002,tt0317248
The Thing,,7,1982,tt0084787
Broadway Danny Rose,3,7,1984,tt0087003
Something Wild,4,7,1986,tt0091983
Body Double,4,7,1984,tt0086984
Hardcore,4,7,1979,tt0079271
Destry Rides Again,4,7,1939,tt0031225
The Great Silence,4,7,1968,tt0063032
The Man Who Shot Liberty Valance,4,6,1962,tt0056217
Ran,4,6,1985,tt0089881
All Quiet on the Western Front,4,6,1930,tt0020629
Rebel Without a Cause,4,6,1955,tt0048545
The Breakfast Club,4,6,1985,tt0088847
Happy Go Lucky,4,6,2008,tt1045670
Forest For the Trees,4,6,2003,tt0386862
Batman Returns,4,6,1992,tt0103776
The Tenant,4,6,1976,tt0074811
Back to the Future II,4,6,1989,tt0096874
Invasion of the Body Snatchers,4,6,1956,tt0049366
Seven Samurai,4,6,1954,tt0047478
Eternal Sunshine of the Spotless Mind,4,6,2004,tt0338013
Chungking Express,4,6,1994,tt0109424
Bonnie and Clyde,4,6,1967,tt0061418
Ashes and Diamonds,4,6,1958,tt0052080
When Harry met Sally,4,6,1989,tt0098635
Shoeshine,3,6,1946,tt0038913
The Seventh Continent,4,6,1989,tt0098327
Schindler's List,4,6,1993,tt0108052
A Place in the Sun,6,6,1951,tt0043924
Kramer vs Kramer,4,6,1979,tt0079417
Gone Girl,4,6,2014,tt2267998
Manhattan,4,6,1979,tt0079522
The Prestige,4,6,2006,tt0482571
Stalker,4,6,1979,tt0079944
Solyaris,4,6,1972,tt0069293
La Dolce Vita,4,6,1960,tt0053779
Ivan the Terrible Part 2,4,6,1945,tt0037824
Ivan the Terrible Part 1,4,6,1944,tt0051790
Ugetsu Monogatari,4,6,1953,tt0046478
Young Frankenstein,4,6,1974,tt0072431
Tootsie,4,6,1982,tt0084805
